Game,Region,Emulator,Playability,Resolution,Renderer,Notes,Media Links,Tested by,Date Tested:
007 - From Russia With Love,ALL,AetherSX2,Bad,1x,Vulkan,"Major slowdowns during the game, tried different configurations but nothing happens",,Smoje79,12-30-22
Ace Combat 4 - Shattered Skies,NTSC-U,AetherSX2,Bad,1x,Vulkan,Major Slowdown,,Jetup13,11-25-22
Ace Combat 5 Belkan War ,NTSC-U,AetherSX2,Perfect,1x,Vulkan,Plays great,,Anonymous,12-30-22
Ace Combat: Squadron Leader,PAL,AetherSX2,Great,1x,Vulkan,Good performance on optimal settings. Minor graphical glitches whenever the ocean is in view.,https://www.youtube.com/watch?v=O2MfvbKfIe8,The Gaming Geek Net,03-10-23
Amplitude,NTSC-U,AetherSX2,Perfect,1x,Vulkan,Fast Settings Turned On,,Jetup13,11-26-22
Ape Escape 2,PAL,AetherSX2,Perfect,1.5x,Vulkan,PAL. Optimal Settings as a base. Threaded Presentation: Enabled. Runs 100%.,,GongStar,12-30-22
Ar tonelico 1,PAL,AetherSX2,Perfect,1x,OpenGL,Runs Great ,,Igor Silva,11-30-22
Ar tonelico 2,PAL,AetherSX2,Perfect,1x,OpenGL,Runs Great ,,Igor Silva,11-30-22
Arc the Lad: Twilight of the Spirits ,ALL,AetherSX2,Somewhat,1x,Vulkan,"The game is playable with  EE Cycle Rate: -1, EE Cycle Skip: 1, Hardware Download Mode: Unsynchronized. There are occasional framerate drops during transitions. Don´t try widescreen patches on this one, they slow the game ",,ThespianMask,12-30-22
Arcana Heart,NTSC-U,AetherSX2,Great,1x,Software,"Runs 100%. Note that this game needs to run in Software mode. OpenGL and Vulkan have nasty drops on special effects, even though it's just a 2D fighter.",,GongStar,03-12-23
Armored Core 2,PAL,AetherSX2,Great,1x,OpenGL,"EE Cycle Rate -1, EE Cycle Skip 1, set Hardware Download Mode to Unsynchronized. You may need to do the Sleep Mode trick (https://www.youtube.com/watch?v=c09JUOzWSo4) if game speed is below 100%.",https://www.youtube.com/watch?v=Q9srNL_EwiA,The Gaming Geek Net,02-10-23
Atelier Iris 1,PAL,AetherSX2,Perfect,1x,OpenGL,Runs Great ,,Igor Silva,11-30-22
Atelier Iris 2,PAL,AetherSX2,Perfect,1x,OpenGL,Runs Great ,,Igor Silva,11-30-22
Atelier Iris 3,PAL,AetherSX2,Perfect,1x,OpenGL,Runs Great ,,Igor Silva,11-30-22
Atelier Marie + Elie,NTSC-J,AetherSX2,Perfect,1x,OpenGL,Runs Great ,,Igor Silva,11-30-22
Auto Modellista,PAL,AetherSX2,Perfect,2x,Vulkan,PAL. Runs 100%. You may be able to go 3x in this one.,,GongStar,03-21-23
Avatar - The Last Airbender,NTSC-U,AetherSX2,Perfect,1x,Vulkan,Seems to run perfect without underclock,https://www.youtube.com/watch?v=6IF3_8HTeKY,Retro Game Corps,11-23-22
Baldur's Gate - Dark Alliance,PAL,AetherSX2,Bad,1x,Vulkan,PAL. Runs 25-100% it varies heavily but overall runs very poorly.,,GongStar,03-21-23
Baroque,NTSC-U,AetherSX2,Great,1x,Vulkan,"Fast Settings Turned On, Widescreen Hacks should be turned off.",,Jetup13,11-25-22
Battle Stadium D.O.N,NTSC-J,AetherSX2,Great,1x,Vulkan,A few drops but it was unnoticeable from testing,,Jetup13,11-27-22
Battlefield 2 - Modern Combat,PAL,AetherSX2,Bad,1x,Software,"PAL. This game still requires Software renderer to play at all. Runs around 25-30% in game, with 5 threads.",,GongStar,03-21-23
Beyond Good and Evil,PAL,AetherSX2,Great,1x,Vulkan,"PAL. Optimal Settings as a base. EE Cycle Rate: -1, EE Cycle Skip: 1. Hardware Download Mode: Unsynchronized. Advanced Settings -> Auto Flush: False (to remove the shadows, as they flicker annoyingly). Runs at 100%. Intro cutscene and the following two battles run stutter free. Tried 1.25x but it starts dipping in the intro cutscene when the sky opens up and also in the first battle.",,GongStar,12-30-22
Black,PAL,AetherSX2,Great,1.25x,Vulkan,"PAL works a bit better. Vulkan at 1.25x , Aspect Ratio 16:9 with widescreen patch, EE Cycle Rate -2 EE Cycle skip 1. Hardware Download Mode Accurate. Runs at 100% with minor dips into the high 90s. Play the game in 50hz mode. As far as the weird flashing pixelated glitch try-Advanced settings> skipdraw start 5 and skipdraw end 5. The game does not run perfect nor at 100% all of the time. Hardware Download Mode: Unsynchronized. Advanced Settings -> Auto Flush: False It is playable.",https://www.youtube.com/watch?v=TEd5XU1vT70&lc=Ugw3K9pL2j-d4vxaoFl4AaABAg,Galvy,12-21-22
Blood Omen 2,PAL,AetherSX2,Playable,1x,OpenGL,Runs Great. Only frame dips on the opening cgi. The rest is full speed.,,Igor Silva,11-27-22
Blood Will Tell,PAL,AetherSX2,Bad,1x,Vulkan,Barely scratches past single digit fps. Not playable.,,Jetup13,11-25-22
Bloodrayne,NTSC-U,AetherSX2,Great,1x,Vulkan,Seems to run perfect without underclock,,Retro Game Corps,
Bloody Roar 3,PAL,AetherSX2,Great,2x,Vulkan,Runs full speed with only minor dips!,,OmgLeto,11-30-22
Bloody Roar 4,PAL,AetherSX2,Great,2x,Vulkan,PAL. Runs 100%. Dips can occur on transformation effects.,,GongStar,12-30-22
Breath of Fire - Dragon Quarter (Breath of Fire V),PAL,AetherSX2,Great,2x,Vulkan,"PAL. Hardware Download Mode: Unsynchronized. Runs 100%. I only played for about 10m so can't say if the performance holds. If you encounter slow downs try lowering the resolution. If you run the game in 'Accurate' mode it will dip to 60%~ which is ofc unplayable. To fix lines caused by missaligned UI elements, you can set TC Offset X/Y to 500/500.",,GongStar,12-30-22
Breath Of Fire V,PAL,AetherSX2,Bad,1x,Vulkan,Game dips really hard on cutscene and in the gameplay.,,Igor Silva,11-25-22
